"name","artist0","role0","artist1","role1","artist2","role2"
"Ana Franjić",1,"vocals, bass",,,,
"Miodrag Gladović",1,"guitar, back vocals",18,"guitar",,
"Miran Rusjan",1,"guitar, back vocals",,,,
"Dubravko Dragojević",1,"drums",,,,
"Kristina Gorovska",2,"vocals",,,,
"Vasko Atanasoski",2,"guitar",29,"guitar, vocals",,
"Deni Krstev",2,"rhythm programming and synthesizer",29,"guitar",,
"Edi Grubišić Cipal",3,"drums",,,,
"Tin Oberman",3,"synths, guitar",,,,
"Luka Vrbanić",3,"bass",,,,
"Dario Seraval",4,"vocals, programming",,,,
"Aldo Ivančič",4,"drums, programming",,,,
"Andrej Mazi",4,"guitar",,,,
"Jelena Rusjan",4,"bass, vocals",25,"bass, vocals",,
"Nikola",5,"drums",,,,
"Ivan",5,"vocals",,,,
"Ashas",5,"guitar",,,,
"Alen",5,"bass",,,,
"Mario Majkić",6,"vocals, guitar",,,,
"Bojan Papić",6,"bass",,,,
"Antun Biloš",6,"drums",,,,
"Petra Dražić",7,"vocals",,,,
"Sven",7,"guitar",,,,
"Danijel Zec",7,"bass",,,,
"Marko Knez",7,"drums",,,,
"Damir Avdić",8,"vocals, guitar",,,,
"Tin Kovačić",9,"vocals",,,,
"Davor Beštvina",9,"guitar",,,,
"Ivan Budaić",9,"guitar",,,,
"Igor Kovačević",9,"bass",,,,
"Siniša Rajković",9,"drums",,,,
"Jack",10,"bass, vocals",,,,
"Peio",10,"guitar",,,,
"Orestis",10,"vocals, guitar",,,,
"Zanos",10,"drums",,,,
"Neven Kamenski",11,"keyboards",24,"drums",,
"Ozren Mlinarić",11,"drums",,,,
"Saša Relić",11,"guitar",24,"guitar",,
"Slobodan Alavanja",11,"bass",24,"bass",,
"Patrik",12,"vocals",,,,
"Matjaž",12,"guitar",,,,
"Miloš",12,"guitar",,,,
"Peter",12,"drums",,,,
"El Chatedralico",13,"vocals",,,,
"Juan Pablo Pe de Rigad",13,"guitar",,,,
"Gorgonzol Matadores",13,"guitar",,,,
"Senor Monsenor Jose",13,"bass",,,,
"Manolo Mago Porco",13,"drums",,,,
"Mich Decruyenaere",14,"vocals, guitar",,,,
"Paul Lamont",14,"bass, vocals",,,,
"Olivier Wychuyse",14,"drums",,,,
"Marko Rusjan",15,"vocals",,,,
"Jan T. Černic",15,"bass",,,,
"Ivo Lozej",15,"guitar",,,,
"Tomaž Ušaj",15,"drums",,,,
"Dario Solenički",16,"vocals, guitar",,,,
"Máteja Horvat",16,"bass, vocals",,,,
"Saša Šegula",16,"drums",,,,
"Matej Končan",17,"synth, sampler, vocoder",,,,
"Nikola Uršić",18,"bass",,,,
"Davor Bolant",18,"guitar",23,"guitar",,
"Bojan Kotzmuth",18,"drums",,,,
"Marin Šulentić",19,"vocals",,,,
"Petar Predrag",19,"guitar, back vocals",,,,
"Lovro Koružnjak",19,"guitar, back vocals",,,,
"Andrija Ražnatović",19,"guitar, back vocals",,,,
"Srdšan Grbić",19,"bass, back vocals",,,,
"Bojan Horvat",19,"drums",,,,
"Blaž Sever",20,"vocals, guitar",,,,
"Petar Cerar",20,"bass",,,,
"Luka Cerar",20,"drums",,,,
"Melanija Fabčič",21,"vocals",28,"vocals",,
"Jernej Šavel",21,"guitar, back vocals",,,,
"Sašo Benko",21,"guitar",28,"guitar, back vocals",,
"Janez Zlebčić",21,"bass",,,,
"Dominik Bagola",21,"drums",,,,
"Boris Vlastelica",22,"vocals, guitar",,,,
"Ana-Marija Cupin",22,"bass, vocals",,,,
"Milena Milutinović",22,"drums, vocals",,,,
"Vedran",23,"drums",,,,
"Davor K",23,"guitar",,,,
"Ivan",23,"vocals",,,,
"Tvrtko",23,"bass",,,,
"Boštjan Simon",25,"synth, sax, vocals",,,,
"Marko Lasič",25,"drums",,,,
"Tena Rak",26,"drums, vocals",,,,
"Ivan Scapec",26,"guitar, vocals",,,,
"Dimitrij Petrović",26,"bass",,,,
"Andrijan Zovko",27,"live electronics",,,,
"Nedim Čisić",27,"guitar, live electronics",,,,
"Manuel Hahn",28,"bass, back vocals",,,,
"David Halb",28,"drums",,,,
"Nenad Trifunovski",29,"bass",,,,
"Dzano Kuch",29,"drums",,,,
